time:0.0186 rot_x:-8.34 gyro_x:3.60 last_x:-7.92 rot_y:9.80 gyro_x:18.44 last_y:9.88 
time:0.0261 rot_x:-9.43 gyro_x:3.71 last_x:-7.84 rot_y:10.00 gyro_x:18.50 last_y:9.94 
time:0.0335 rot_x:-11.84 gyro_x:3.88 last_x:-7.76 rot_y:8.93 gyro_x:18.59 last_y:10.01 
time:0.0409 rot_x:-11.70 gyro_x:4.07 last_x:-7.65 rot_y:4.89 gyro_x:18.74 last_y:10.05 
time:0.0482 rot_x:-8.48 gyro_x:4.27 last_x:-7.47 rot_y:2.00 gyro_x:18.87 last_y:10.02 
time:0.0556 rot_x:-5.58 gyro_x:4.44 last_x:-7.26 rot_y:0.31 gyro_x:18.99 last_y:9.94 
time:0.0630 rot_x:-6.68 gyro_x:4.57 last_x:-7.13 rot_y:1.00 gyro_x:19.05 last_y:9.82 
time:0.0703 rot_x:-7.36 gyro_x:4.61 last_x:-7.09 rot_y:3.93 gyro_x:19.05 last_y:9.71 
time:0.0777 rot_x:-8.84 gyro_x:4.62 last_x:-7.11 rot_y:5.90 gyro_x:19.01 last_y:9.59 
time:0.0851 rot_x:-10.55 gyro_x:4.62 last_x:-7.18 rot_y:6.66 gyro_x:18.98 last_y:9.50 
time:0.0925 rot_x:-10.43 gyro_x:4.67 last_x:-7.20 rot_y:5.86 gyro_x:18.99 last_y:9.44 
time:0.0999 rot_x:-10.51 gyro_x:4.77 last_x:-7.17 rot_y:4.97 gyro_x:19.07 last_y:9.43 
time:0.1073 rot_x:-9.48 gyro_x:4.90 last_x:-7.08 rot_y:5.60 gyro_x:19.16 last_y:9.44 
time:0.1147 rot_x:-9.17 gyro_x:5.01 last_x:-7.02 rot_y:6.03 gyro_x:19.22 last_y:9.43 
time:0.1220 rot_x:-9.01 gyro_x:5.10 last_x:-6.97 rot_y:6.54 gyro_x:19.22 last_y:9.38 
time:0.1294 rot_x:-10.06 gyro_x:5.15 last_x:-6.99 rot_y:7.31 gyro_x:19.20 last_y:9.31 
time:0.1367 rot_x:-9.39 gyro_x:5.23 last_x:-6.96 rot_y:9.02 gyro_x:19.20 last_y:9.31 
time:0.1441 rot_x:-12.89 gyro_x:5.35 last_x:-6.96 rot_y:8.77 gyro_x:19.23 last_y:9.33 
time:0.1515 rot_x:-11.03 gyro_x:5.50 last_x:-6.89 rot_y:8.59 gyro_x:19.31 last_y:9.39 
time:0.1589 rot_x:-8.90 gyro_x:5.68 last_x:-6.75 rot_y:5.52 gyro_x:19.39 last_y:9.39 
time:0.1662 rot_x:-7.07 gyro_x:5.85 last_x:-6.60 rot_y:2.94 gyro_x:19.49 last_y:9.35 
time:0.1736 rot_x:-5.50 gyro_x:6.00 last_x:-6.43 rot_y:1.54 gyro_x:19.56 last_y:9.28 
time:0.1810 rot_x:-4.90 gyro_x:6.11 last_x:-6.29 rot_y:2.88 gyro_x:19.62 last_y:9.20 
time:0.1884 rot_x:-5.43 gyro_x:6.17 last_x:-6.21 rot_y:6.36 gyro_x:19.63 last_y:9.16 
time:0.1963 rot_x:-7.26 gyro_x:6.17 last_x:-6.23 rot_y:8.93 gyro_x:19.61 last_y:9.13 
time:0.2037 rot_x:-7.42 gyro_x:6.14 last_x:-6.28 rot_y:9.66 gyro_x:19.58 last_y:9.11 
time:0.2111 rot_x:-8.09 gyro_x:6.12 last_x:-6.34 rot_y:9.25 gyro_x:19.57 last_y:9.10 
time:0.2186 rot_x:-8.28 gyro_x:6.13 last_x:-6.37 rot_y:9.52 gyro_x:19.56 last_y:9.11 
time:0.2260 rot_x:-10.26 gyro_x:6.20 last_x:-6.38 rot_y:8.66 gyro_x:19.57 last_y:9.11 
time:0.2334 rot_x:-11.90 gyro_x:6.30 last_x:-6.39 rot_y:8.15 gyro_x:19.58 last_y:9.10 
time:0.2407 rot_x:-13.23 gyro_x:6.45 last_x:-6.38 rot_y:6.87 gyro_x:19.57 last_y:9.04 
time:0.2481 rot_x:-12.58 gyro_x:6.62 last_x:-6.34 rot_y:3.72 gyro_x:19.55 last_y:8.92 
time:0.2555 rot_x:-8.16 gyro_x:6.83 last_x:-6.17 rot_y:0.53 gyro_x:19.53 last_y:8.73 
time:0.2629 rot_x:-7.40 gyro_x:7.09 last_x:-5.94 rot_y:-0.17 gyro_x:19.51 last_y:8.53 
time:0.2702 rot_x:-6.76 gyro_x:7.37 last_x:-5.68 rot_y:1.65 gyro_x:19.51 last_y:8.39 
time:0.2776 rot_x:-7.09 gyro_x:7.65 last_x:-5.44 rot_y:2.44 gyro_x:19.52 last_y:8.28 
time:0.2850 rot_x:-6.11 gyro_x:7.89 last_x:-5.21 rot_y:2.20 gyro_x:19.52 last_y:8.16 
time:0.2924 rot_x:-4.74 gyro_x:8.08 last_x:-5.02 rot_y:2.50 gyro_x:19.50 last_y:8.03 
time:0.2998 rot_x:-5.74 gyro_x:8.23 last_x:-4.89 rot_y:3.25 gyro_x:19.45 last_y:7.88 
time:0.3072 rot_x:-7.44 gyro_x:8.34 last_x:-4.83 rot_y:4.71 gyro_x:19.39 last_y:7.76 
time:0.3146 rot_x:-9.04 gyro_x:8.43 last_x:-4.82 rot_y:5.34 gyro_x:19.34 last_y:7.66 
time:0.3220 rot_x:-9.84 gyro_x:8.54 last_x:-4.82 rot_y:5.30 gyro_x:19.31 last_y:7.59 
time:0.3293 rot_x:-10.38 gyro_x:8.68 last_x:-4.79 rot_y:2.91 gyro_x:19.33 last_y:7.52 
time:0.3367 rot_x:-8.52 gyro_x:8.87 last_x:-4.68 rot_y:-0.27 gyro_x:19.39 last_y:7.41 
time:0.3440 rot_x:-7.56 gyro_x:9.09 last_x:-4.53 rot_y:-0.79 gyro_x:19.46 last_y:7.33 
time:0.3514 rot_x:-8.45 gyro_x:9.32 last_x:-4.37 rot_y:-0.58 gyro_x:19.52 last_y:7.22 
time:0.3588 rot_x:-6.04 gyro_x:9.54 last_x:-4.19 rot_y:0.87 gyro_x:19.58 last_y:7.15 
time:0.3662 rot_x:-6.83 gyro_x:9.77 last_x:-4.02 rot_y:2.19 gyro_x:19.62 last_y:7.09 
time:0.3736 rot_x:-5.57 gyro_x:9.95 last_x:-3.87 rot_y:2.63 gyro_x:19.68 last_y:7.06 
time:0.3809 rot_x:-3.06 gyro_x:10.11 last_x:-3.70 rot_y:2.08 gyro_x:19.72 last_y:7.01 
time:0.3883 rot_x:-3.03 gyro_x:10.19 last_x:-3.61 rot_y:2.58 gyro_x:19.76 last_y:6.95 
time:0.3957 rot_x:-2.52 gyro_x:10.22 last_x:-3.55 rot_y:4.67 gyro_x:19.72 last_y:6.87 
time:0.4030 rot_x:-4.01 gyro_x:10.18 last_x:-3.60 rot_y:7.99 gyro_x:19.66 last_y:6.83 
time:0.4104 rot_x:-8.12 gyro_x:10.12 last_x:-3.76 rot_y:10.61 gyro_x:19.55 last_y:6.80 
time:0.4179 rot_x:-11.71 gyro_x:10.05 last_x:-3.99 rot_y:10.58 gyro_x:19.48 last_y:6.80 
time:0.4253 rot_x:-12.47 gyro_x:10.03 last_x:-4.17 rot_y:7.32 gyro_x:19.43 last_y:6.77 
time:0.4327 rot_x:-10.35 gyro_x:10.09 last_x:-4.24 rot_y:3.65 gyro_x:19.44 last_y:6.72 
time:0.4401 rot_x:-10.73 gyro_x:10.24 last_x:-4.22 rot_y:1.12 gyro_x:19.46 last_y:6.62 
time:0.4474 rot_x:-10.33 gyro_x:10.47 last_x:-4.12 rot_y:1.38 gyro_x:19.48 last_y:6.54 
time:0.4548 rot_x:-10.13 gyro_x:10.76 last_x:-3.96 rot_y:2.30 gyro_x:19.52 last_y:6.49 
time:0.4622 rot_x:-8.62 gyro_x:11.09 last_x:-3.73 rot_y:1.29 gyro_x:19.58 last_y:6.45 
time:0.4695 rot_x:-4.77 gyro_x:11.43 last_x:-3.41 rot_y:-0.00 gyro_x:19.69 last_y:6.42 
time:0.4769 rot_x:-1.62 gyro_x:11.76 last_x:-3.05 rot_y:-1.05 gyro_x:19.81 last_y:6.39 
time:0.4843 rot_x:0.81 gyro_x:12.00 last_x:-2.74 rot_y:-0.04 gyro_x:19.87 last_y:6.33 
time:0.4917 rot_x:-0.41 gyro_x:12.11 last_x:-2.58 rot_y:1.23 gyro_x:19.82 last_y:6.17 
time:0.4991 rot_x:-2.15 gyro_x:12.06 last_x:-2.63 rot_y:3.87 gyro_x:19.70 last_y:6.01 
time:0.5065 rot_x:-5.75 gyro_x:11.93 last_x:-2.82 rot_y:5.24 gyro_x:19.49 last_y:5.79 
time:0.5139 rot_x:-6.98 gyro_x:11.77 last_x:-3.06 rot_y:4.95 gyro_x:19.32 last_y:5.60 
time:0.5213 rot_x:-7.89 gyro_x:11.69 last_x:-3.23 rot_y:3.72 gyro_x:19.18 last_y:5.43 
time:0.5286 rot_x:-10.77 gyro_x:11.71 last_x:-3.36 rot_y:3.65 gyro_x:19.16 last_y:5.37 
time:0.5360 rot_x:-11.32 gyro_x:11.84 last_x:-3.39 rot_y:2.33 gyro_x:19.22 last_y:5.37 
time:0.5434 rot_x:-7.64 gyro_x:12.01 last_x:-3.31 rot_y:0.16 gyro_x:19.31 last_y:5.36 
time:0.5507 rot_x:-4.90 gyro_x:12.19 last_x:-3.17 rot_y:-0.85 gyro_x:19.38 last_y:5.30 
time:0.5581 rot_x:-4.40 gyro_x:12.33 last_x:-3.05 rot_y:-0.12 gyro_x:19.39 last_y:5.21 
time:0.5655 rot_x:-5.53 gyro_x:12.46 last_x:-2.98 rot_y:1.16 gyro_x:19.37 last_y:5.10 
time:0.5729 rot_x:-4.11 gyro_x:12.59 last_x:-2.87 rot_y:3.17 gyro_x:19.36 last_y:5.05 
time:0.5802 rot_x:-2.21 gyro_x:12.75 last_x:-2.71 rot_y:4.30 gyro_x:19.39 last_y:5.07 
time:0.5877 rot_x:-1.53 gyro_x:12.91 last_x:-2.52 rot_y:5.26 gyro_x:19.47 last_y:5.15 
time:0.5950 rot_x:-1.11 gyro_x:13.04 last_x:-2.37 rot_y:6.69 gyro_x:19.52 last_y:5.23 
time:0.6023 rot_x:-2.57 gyro_x:13.09 last_x:-2.32 rot_y:7.26 gyro_x:19.52 last_y:5.27 
time:0.6097 rot_x:-3.83 gyro_x:13.08 last_x:-2.36 rot_y:7.09 gyro_x:19.46 last_y:5.25 
time:0.6171 rot_x:-4.88 gyro_x:13.05 last_x:-2.44 rot_y:4.84 gyro_x:19.41 last_y:5.19 
time:0.6245 rot_x:-4.93 gyro_x:13.07 last_x:-2.47 rot_y:3.55 gyro_x:19.39 last_y:5.14 
time:0.6319 rot_x:-6.94 gyro_x:13.16 last_x:-2.48 rot_y:2.46 gyro_x:19.41 last_y:5.11 
time:0.6392 rot_x:-7.01 gyro_x:13.29 last_x:-2.44 rot_y:2.76 gyro_x:19.46 last_y:5.11 
time:0.6466 rot_x:-7.07 gyro_x:13.45 last_x:-2.37 rot_y:1.76 gyro_x:19.53 last_y:5.11 
time:0.6539 rot_x:-6.02 gyro_x:13.63 last_x:-2.27 rot_y:0.18 gyro_x:19.60 last_y:5.08 
time:0.6613 rot_x:-5.15 gyro_x:13.82 last_x:-2.14 rot_y:-1.19 gyro_x:19.69 last_y:5.04 
time:0.6686 rot_x:-4.38 gyro_x:14.00 last_x:-2.01 rot_y:-1.28 gyro_x:19.77 last_y:5.00 
time:0.6760 rot_x:-3.76 gyro_x:14.12 last_x:-1.92 rot_y:0.39 gyro_x:19.83 last_y:4.96 
time:0.6834 rot_x:-5.50 gyro_x:14.16 last_x:-1.95 rot_y:1.73 gyro_x:19.82 last_y:4.88 
time:0.6908 rot_x:-4.73 gyro_x:14.12 last_x:-2.05 rot_y:3.49 gyro_x:19.75 last_y:4.79 
time:0.6982 rot_x:-5.61 gyro_x:14.08 last_x:-2.16 rot_y:5.42 gyro_x:19.67 last_y:4.72 
time:0.7056 rot_x:-8.79 gyro_x:14.07 last_x:-2.31 rot_y:7.18 gyro_x:19.62 last_y:4.72 
time:0.7129 rot_x:-9.10 gyro_x:14.13 last_x:-2.38 rot_y:7.19 gyro_x:19.65 last_y:4.80 
time:0.7203 rot_x:-7.11 gyro_x:14.27 last_x:-2.33 rot_y:5.72 gyro_x:19.76 last_y:4.93 
time:0.7276 rot_x:-3.83 gyro_x:14.49 last_x:-2.16 rot_y:3.59 gyro_x:19.92 last_y:5.06 
time:0.7350 rot_x:-2.71 gyro_x:14.71 last_x:-1.95 rot_y:2.04 gyro_x:20.07 last_y:5.15 
time:0.7424 rot_x:-2.46 gyro_x:14.88 last_x:-1.79 rot_y:1.03 gyro_x:20.20 last_y:5.19 
time:0.7498 rot_x:-3.78 gyro_x:15.01 last_x:-1.71 rot_y:-0.26 gyro_x:20.29 last_y:5.17 
time:0.7571 rot_x:-2.64 gyro_x:15.07 last_x:-1.66 rot_y:-0.89 gyro_x:20.37 last_y:5.13 
time:0.7645 rot_x:0.42 gyro_x:15.09 last_x:-1.60 rot_y:-1.28 gyro_x:20.44 last_y:5.07 
