time:0.0177 rot_x:22.65 gyro_x:45.78 last_x:39.12 rot_y:-22.50 gyro_x:-29.48 last_y:-33.92 
time:0.0251 rot_x:25.62 gyro_x:45.40 last_x:38.48 rot_y:-32.05 gyro_x:-29.81 last_y:-34.20 
time:0.0325 rot_x:37.04 gyro_x:44.73 last_x:37.80 rot_y:-39.17 gyro_x:-30.24 last_y:-34.73 
time:0.0399 rot_x:38.02 gyro_x:44.08 last_x:37.16 rot_y:-46.61 gyro_x:-30.83 last_y:-35.54 
time:0.0473 rot_x:34.05 gyro_x:43.43 last_x:36.46 rot_y:-51.26 gyro_x:-31.29 last_y:-36.30 
time:0.0546 rot_x:34.10 gyro_x:42.88 last_x:35.88 rot_y:-51.63 gyro_x:-31.65 last_y:-36.97 
time:0.0619 rot_x:33.36 gyro_x:42.41 last_x:35.37 rot_y:-52.71 gyro_x:-31.85 last_y:-37.48 
time:0.0692 rot_x:33.23 gyro_x:42.04 last_x:34.96 rot_y:-52.16 gyro_x:-31.98 last_y:-37.89 
time:0.0766 rot_x:29.94 gyro_x:41.69 last_x:34.52 rot_y:-53.05 gyro_x:-32.07 last_y:-38.29 
time:0.0839 rot_x:30.22 gyro_x:41.33 last_x:34.08 rot_y:-53.20 gyro_x:-32.21 last_y:-38.72 
time:0.0913 rot_x:28.36 gyro_x:40.97 last_x:33.61 rot_y:-57.09 gyro_x:-32.33 last_y:-39.21 
time:0.0987 rot_x:26.57 gyro_x:40.67 last_x:33.18 rot_y:-59.57 gyro_x:-32.42 last_y:-39.71 
time:0.1060 rot_x:27.42 gyro_x:40.46 last_x:32.85 rot_y:-61.06 gyro_x:-32.39 last_y:-40.10 
time:0.1134 rot_x:28.79 gyro_x:40.35 last_x:32.66 rot_y:-57.76 gyro_x:-32.24 last_y:-40.31 
time:0.1207 rot_x:26.56 gyro_x:40.29 last_x:32.49 rot_y:-52.54 gyro_x:-32.03 last_y:-40.35 
time:0.1281 rot_x:27.08 gyro_x:40.22 last_x:32.31 rot_y:-47.98 gyro_x:-31.87 last_y:-40.34 
